ppt,name,laa,outdoor_time,wellbeing,density
ID1,Kendall Millar,West Lothian,20,37,421
ID10,Dominik Hill,Falkirk,23,34,526
ID100,Blair Harrison,Falkirk,29,39,526
ID101,Zander Kane,Scottish Borders,21,42,29
ID102,Frederick Nicolson,Dumfries and Galloway,10,37,19
ID103,Orlaith Christie,Argyll and Bute,19,42,13
ID104,Alicia MacGregor,Perth and Kinross,13,38,31
ID105,Louis Duff,East Renfrewshire,21,44,536
ID106,Taylor Inglis,Inverclyde,16,47,480
ID107,Noor Currie,Midlothian,12,45,258
ID108,Ella Wilson,Moray,22,42,44
ID109,Tom Millar,East Renfrewshire,13,35,536
ID11,Thomas Cunningham,West Lothian,26,29,421
ID110,Lyall McArthur,Falkirk,17,28,526
ID111,Maddison Gardiner,West Dunbartonshire,23,28,566
ID112,Bailey Webster,Argyll and Bute,14,49,13
ID113,Nieve Davis,East Ayrshire,21,30,96
ID114,Charlie Harris,Shetland Islands,9,48,12
ID115,Frankie Davidson,Stirling,23,62,41
ID116,Eden Shepherd,Scottish Borders,11,43,29
ID117,William Forrest,Stirling,10,52,41
ID118,Julia Henderson,City of Edinburgh,20,63,1958
ID119,Zander Gallagher,Dumfries and Galloway,17,45,19
ID12,Leon Brown,Moray,28,48,44
ID120,Dominik Campbell,Orkney Islands,16,47,22
ID121,Finley Johnson,East Renfrewshire,18,47,536
ID122,Luke McLaughlin,Perth and Kinross,12,40,31
ID123,Joel Devlin,Na h-Eileanan Siar,17,62,15
ID124,Cali Robertson,Glasgow City,27,21,3581
ID125,Jay McMillan,Stirling,27,56,41
ID126,Ruben Hutchison,Moray,7,35,44
ID127,Dean Mason,Stirling,9,41,41
ID128,Harvey O'Donnell,East Ayrshire,22,36,96
ID129,Eric McMahon,West Dunbartonshire,19,37,566
ID13,Elena Bain,Argyll and Bute,21,41,13
ID130,Theo Doyle,East Ayrshire,9,33,96
ID131,Jay McNeill,Shetland Islands,23,56,12
ID132,Aidan MacFarlane,Inverclyde,18,47,480
ID14,Travis McLean,Argyll and Bute,21,43,13
ID15,Charlie MacGregor,Falkirk,37,31,526
ID16,Connor Ross,Highland,28,59,10
ID17,River Thomson,Scottish Borders,16,42,29
ID18,Carter Morton,Argyll and Bute,5,41,13
ID19,Callie Baillie,Shetland Islands,8,46,12
ID2,John Burns,Angus,14,44,48
ID20,Zoe Boyd,Glasgow City,10,27,3581
ID21,Annie Inglis,Argyll and Bute,19,47,13
ID22,Edie Gray,Argyll and Bute,31,48,13
ID23,Nicole Park,East Ayrshire,16,28,96
ID24,Alisha Baillie,Highland,11,48,10
ID25,Ronnie Maxwell,Perth and Kinross,16,50,31
ID26,Elle Foster,City of Edinburgh,14,60,1958
ID27,Hudson Donnelly,Midlothian,16,52,258
ID28,Elizabeth Hall,Glasgow City,15,23,3581
ID29,Lochlan Graham,Na h-Eileanan Siar,25,70,15
ID3,Michael Buchanan,Highland,22,63,10
ID30,Duncan Mason,Moray,23,44,44
ID31,Charley McIntyre,Inverclyde,12,47,480
ID32,Eleanor Martin,Scottish Borders,7,32,29
