timepoint,child,PSB
0,Brianda,14
1,Brianda,18
2,Brianda,20
3,Brianda,25
4,Brianda,28
0,Mory,17
1,Mory,18
2,Mory,14
3,Mory,14
4,Mory,14
0,Brian,14
1,Brian,15
2,Brian,16
3,Brian,18
4,Brian,21
0,Lonnie,21
1,Lonnie,22
2,Lonnie,21
3,Lonnie,17
4,Lonnie,15
0,Mamoon,9
1,Mamoon,21
2,Mamoon,24
3,Mamoon,27
4,Mamoon,30
0,Raamiz,18
1,Raamiz,20
2,Raamiz,18
3,Raamiz,17
4,Raamiz,22
0,Ibtisaama,20
1,Ibtisaama,17
2,Ibtisaama,19
3,Ibtisaama,19
4,Ibtisaama,17
0,Cody,10
1,Cody,15
2,Cody,15
3,Cody,20
4,Cody,24
0,Jennifer,13
1,Jennifer,18
2,Jennifer,22
3,Jennifer,25
4,Jennifer,28
0,Najwa,16
1,Najwa,9
2,Najwa,12
3,Najwa,12
4,Najwa,7
0,Graylin,23
1,Graylin,22
2,Graylin,22
3,Graylin,23
4,Graylin,22
0,Joshua,18
1,Joshua,13
2,Joshua,11
3,Joshua,14
4,Joshua,9
0,Monique,18
1,Monique,19
2,Monique,26
3,Monique,35
4,Monique,39
0,Brianna,17
1,Brianna,18
2,Brianna,17
3,Brianna,21
4,Brianna,24
0,Tyler,16
1,Tyler,14
2,Tyler,12
3,Tyler,10
4,Tyler,11
0,Tanner,12
1,Tanner,14
2,Tanner,15
3,Tanner,17
4,Tanner,18
0,Raihaan,11
1,Raihaan,10
2,Raihaan,13
3,Raihaan,19
4,Raihaan,21
0,Mu'taz,9
1,Mu'taz,21
2,Mu'taz,24
3,Mu'taz,34
4,Mu'taz,42
0,Sapphire,13
1,Sapphire,23
2,Sapphire,37
3,Sapphire,47
4,Sapphire,56
0,Janisa,10
1,Janisa,15
2,Janisa,17
3,Janisa,22
4,Janisa,28
0,Anthony,16
1,Anthony,18
2,Anthony,19
3,Anthony,26
4,Anthony,27
0,Hayden,16
1,Hayden,17
2,Hayden,20
3,Hayden,23
4,Hayden,26
0,Jessica,18
1,Jessica,16
2,Jessica,15
3,Jessica,15
4,Jessica,14
0,Raylene,18
1,Raylene,15
2,Raylene,13
3,Raylene,5
4,Raylene,5
0,Kianna,11
1,Kianna,19
2,Kianna,23
3,Kianna,28
4,Kianna,35
0,Wajdi,17
1,Wajdi,18
2,Wajdi,13
3,Wajdi,9
4,Wajdi,7
0,Sawada,14
1,Sawada,17
2,Sawada,19
3,Sawada,21
4,Sawada,21
0,Leslie,10
1,Leslie,18
2,Leslie,14
3,Leslie,19
4,Leslie,23
0,Haley,15
1,Haley,22
2,Haley,22
3,Haley,20
4,Haley,25
0,Mitchelle,14
1,Mitchelle,21
2,Mitchelle,23
3,Mitchelle,27
4,Mitchelle,34
0,Cyler,9
1,Cyler,12
2,Cyler,8
3,Cyler,8
4,Cyler,8
0,Megan Janet,8
1,Megan Janet,9
2,Megan Janet,10
3,Megan Janet,12
4,Megan Janet,12
0,Haashid,16
1,Haashid,19
2,Haashid,21
3,Haashid,21
4,Haashid,25
0,Derrick,20
1,Derrick,20
2,Derrick,16
3,Derrick,12
4,Derrick,7
0,Erin,15
1,Erin,21
2,Erin,30
3,Erin,28
4,Erin,31
0,Cheyenne,14
1,Cheyenne,21
2,Cheyenne,22
3,Cheyenne,23
4,Cheyenne,26
0,Saleet,13
1,Saleet,23
2,Saleet,26
3,Saleet,31
4,Saleet,41
0,Yesica,15
1,Yesica,17
2,Yesica,19
3,Yesica,17
4,Yesica,19
0,Mudrik,19
1,Mudrik,14
2,Mudrik,13
3,Mudrik,12
4,Mudrik,9
0,Sabaaha,18
1,Sabaaha,18
2,Sabaaha,20
3,Sabaaha,16
4,Sabaaha,15
0,Sarah,15
1,Sarah,12
2,Sarah,14
3,Sarah,12
4,Sarah,12
0,Wyatt,21
1,Wyatt,13
2,Wyatt,11
3,Wyatt,10
4,Wyatt,6
0,Karen,13
1,Karen,17
2,Karen,21
3,Karen,28
4,Karen,33
0,Mariah,17
1,Mariah,21
2,Mariah,20
3,Mariah,21
4,Mariah,21
0,Kayla,9
1,Kayla,12
2,Kayla,9
3,Kayla,7
4,Kayla,10
0,Abdul Ghani,13
1,Abdul Ghani,14
2,Abdul Ghani,16
3,Abdul Ghani,18
4,Abdul Ghani,15
0,Rachael,15
1,Rachael,12
2,Rachael,11
3,Rachael,8
4,Rachael,7
0,Alonzo,13
1,Alonzo,11
2,Alonzo,15
3,Alonzo,10
4,Alonzo,12
0,Cherokee,8
1,Cherokee,16
2,Cherokee,19
3,Cherokee,26
4,Cherokee,32
0,Robert,13
1,Robert,17
2,Robert,21
3,Robert,25
4,Robert,25
