name,agemonths,timeofday,visibility,taken,age
Lauren,60,pm,visible,taken,5
Taraleah,100,pm,visible,waited,8.333333333333334
Connor,109,pm,visible,waited,9.083333333333334
Siengthong,61,pm,hidden,waited,5.083333333333333
Naseem,90,pm,hidden,waited,7.5
Rita,115,am,hidden,waited,9.583333333333334
Andrew,70,pm,visible,waited,5.833333333333333
Joselyn,105,am,hidden,waited,8.75
Jessie,114,am,hidden,waited,9.5
Sheela,105,am,visible,waited,8.75
Mahfoodha,94,am,visible,waited,7.833333333333333
Majdi,63,am,hidden,taken,5.25
Corbin,42,am,visible,taken,3.5
Nora,44,pm,hidden,waited,3.6666666666666665
Aqeel,87,am,hidden,waited,7.25
Ramla,102,am,visible,taken,8.5
Steffi,65,pm,visible,waited,5.416666666666667
Carlos,112,am,hidden,taken,9.333333333333334
Sadie,84,am,visible,waited,7
Gabriela,114,am,hidden,taken,9.5
Brianna,109,am,visible,waited,9.083333333333334
Darienne,65,pm,hidden,waited,5.416666666666667
Sonnie,79,am,visible,taken,6.583333333333333
Linsay,58,pm,hidden,waited,4.833333333333333
Corson,56,am,visible,taken,4.666666666666667
Alfredo,81,am,visible,taken,6.75
Paige,42,pm,visible,taken,3.5
Alex,40,pm,hidden,taken,3.3333333333333335
Tatayana,63,am,hidden,waited,5.25
Nazif,61,pm,visible,taken,5.083333333333333
Ahmed,59,pm,visible,waited,4.916666666666667
Daryl,87,am,visible,taken,7.25
Rylee,113,pm,visible,waited,9.416666666666666
Rich,84,am,visible,waited,7
Maria,106,am,visible,waited,8.833333333333334
Ashley,60,am,visible,taken,5
Christina,82,am,visible,taken,6.833333333333333
Hamdi,109,pm,visible,waited,9.083333333333334
Dane,49,pm,hidden,taken,4.083333333333333
Christine,81,pm,hidden,waited,6.75
David,113,am,hidden,waited,9.416666666666666
Ambria,94,am,visible,taken,7.833333333333333
Jordahn,69,pm,hidden,waited,5.75
Jazzmine,56,pm,hidden,waited,4.666666666666667
Shenida,92,am,visible,taken,7.666666666666667
Trevor,41,pm,visible,taken,3.4166666666666665
Jaspreet,101,am,hidden,waited,8.416666666666666
Hakeema,83,pm,visible,taken,6.916666666666667
Chelsea,107,am,visible,taken,8.916666666666666
Nacreasha,113,am,visible,waited,9.416666666666666
Jasmine,41,pm,visible,taken,3.4166666666666665
Noori,61,pm,visible,taken,5.083333333333333
Chann,86,am,visible,taken,7.166666666666667
Alexander,82,pm,visible,waited,6.833333333333333
Christina,41,pm,hidden,taken,3.4166666666666665
Bruce,65,pm,visible,taken,5.416666666666667
Riley,93,am,visible,waited,7.75
Thomas,63,pm,hidden,waited,5.25
Timothy,79,pm,hidden,waited,6.583333333333333
Tevin,98,am,visible,waited,8.166666666666666
Karen,79,pm,visible,taken,6.583333333333333
Gabriella,62,pm,visible,taken,5.166666666666667
Aisha,107,pm,visible,waited,8.916666666666666
Katherine,55,am,visible,taken,4.583333333333333
Aabdeen,114,pm,hidden,waited,9.5
Autumn,40,pm,visible,taken,3.3333333333333335
Austin,73,am,hidden,waited,6.083333333333333
Morgan,67,am,hidden,waited,5.583333333333333
Joseph,72,pm,hidden,taken,6
Savanna,56,pm,hidden,waited,4.666666666666667
Salvador,111,am,hidden,waited,9.25
Tawheed,46,pm,hidden,waited,3.8333333333333335
Ngoclan,103,am,hidden,waited,8.583333333333334
Rebecca,88,pm,visible,taken,7.333333333333333
Peter,67,am,hidden,waited,5.583333333333333
Breaunna,107,pm,visible,waited,8.916666666666666
Marsean,62,pm,hidden,waited,5.166666666666667
Tori,93,am,hidden,waited,7.75
Humberto,96,am,hidden,taken,8
Trey,107,am,visible,waited,8.916666666666666
Nicholas,107,am,hidden,waited,8.916666666666666
Richard,95,pm,visible,waited,7.916666666666667
Asmar,43,am,visible,taken,3.5833333333333335
Awn,78,am,visible,taken,6.5
Muhyddeen,98,am,visible,taken,8.166666666666666
Krystal,60,pm,hidden,taken,5
Mike,65,pm,hidden,taken,5.416666666666667
Jo,99,am,hidden,waited,8.25
Alexander,109,am,visible,waited,9.083333333333334
Carlee,85,am,hidden,waited,7.083333333333333
Samuel,74,pm,hidden,waited,6.166666666666667
Yasminee,62,pm,visible,taken,5.166666666666667
Karen,62,am,hidden,taken,5.166666666666667
Katherine,47,pm,hidden,waited,3.9166666666666665
Simon,96,am,hidden,waited,8
Edward,49,pm,visible,taken,4.083333333333333
Lilly,76,am,hidden,waited,6.333333333333333
Jean Mille,113,am,visible,waited,9.416666666666666
Camille,39,pm,hidden,taken,3.25
Ana,59,am,visible,taken,4.916666666666667
Rebecca,58,pm,hidden,waited,4.833333333333333
Piper,97,am,hidden,waited,8.083333333333334
Kelsi,105,pm,visible,waited,8.75
Akeylah,57,pm,hidden,taken,4.75
Miki,74,am,visible,waited,6.166666666666667
Angelina,83,pm,hidden,waited,6.916666666666667
Brainard,112,am,visible,taken,9.333333333333334
Marwaan,51,pm,visible,taken,4.25
Shaakira,81,pm,hidden,waited,6.75
Johnny,43,pm,visible,taken,3.5833333333333335
Lesly,52,pm,visible,taken,4.333333333333333
Desiray,65,pm,visible,taken,5.416666666666667
Lien,70,pm,hidden,waited,5.833333333333333
Christopher,107,am,visible,waited,8.916666666666666
Hilmiyya,47,am,hidden,waited,3.9166666666666665
Mansoor,60,pm,visible,taken,5
Aaron,84,pm,hidden,waited,7
Roderick,42,pm,hidden,waited,3.5
Sean,75,pm,visible,taken,6.25
John Daniel,52,pm,hidden,taken,4.333333333333333
Makenna,55,pm,hidden,waited,4.583333333333333
Benjamin,46,pm,visible,taken,3.8333333333333335
Joshua,61,pm,hidden,taken,5.083333333333333
Christina,102,am,visible,waited,8.5
Sulama,61,am,visible,taken,5.083333333333333
Tiffany,96,am,hidden,taken,8
Alexia,62,pm,visible,taken,5.166666666666667
Stephanie,61,pm,hidden,waited,5.083333333333333
Victoria,103,pm,visible,waited,8.583333333333334
Mika,113,am,hidden,waited,9.416666666666666
Grant,56,pm,visible,taken,4.666666666666667
Kuan,60,pm,hidden,taken,5
Bandar,70,pm,visible,taken,5.833333333333333
Daneshia,42,pm,hidden,waited,3.5
Tessa,55,am,visible,taken,4.583333333333333
Nabeeha,52,am,hidden,waited,4.333333333333333
Raaida,73,am,visible,taken,6.083333333333333
Corrina,104,am,hidden,waited,8.666666666666666
Jessica,76,pm,visible,waited,6.333333333333333
Corbin,74,am,visible,taken,6.166666666666667
Angela,64,pm,visible,waited,5.333333333333333
Fernando,104,am,hidden,waited,8.666666666666666
Aakash,101,pm,hidden,waited,8.416666666666666
Christopher,82,am,hidden,waited,6.833333333333333
Erick,94,am,hidden,waited,7.833333333333333
Tahirih,101,am,visible,waited,8.416666666666666
Charles,58,pm,hidden,waited,4.833333333333333
Katherine,69,am,visible,waited,5.75
Tawheeda,77,pm,visible,waited,6.416666666666667
Shawn,76,pm,hidden,waited,6.333333333333333
Colin,72,pm,visible,waited,6
Anthony,97,pm,hidden,waited,8.083333333333334
Aliyah,114,pm,visible,waited,9.5
Alana,62,am,visible,taken,5.166666666666667
Sabaaha,41,pm,visible,taken,3.4166666666666665
Marissa,111,am,hidden,waited,9.25
Amanda,85,am,hidden,taken,7.083333333333333
Oscar,48,am,visible,taken,4
Dana,87,pm,hidden,taken,7.25
Kevin,47,pm,hidden,taken,3.9166666666666665
Elijah,111,am,visible,taken,9.25
Dajana,71,pm,visible,taken,5.916666666666667
David,52,pm,hidden,waited,4.333333333333333
Alexis,71,pm,hidden,taken,5.916666666666667
Faraah,105,am,hidden,waited,8.75
Eldriges,65,am,hidden,waited,5.416666666666667
Donald,77,am,hidden,waited,6.416666666666667
Nydia,40,pm,hidden,taken,3.3333333333333335
William,54,am,visible,taken,4.5
Laniece,96,pm,visible,waited,8
Ian,74,pm,visible,waited,6.166666666666667
Kevin,103,am,visible,waited,8.583333333333334
Lina,44,pm,hidden,taken,3.6666666666666665
Angel,115,am,visible,waited,9.583333333333334
Amber,92,am,visible,waited,7.666666666666667
Teresa,73,am,hidden,waited,6.083333333333333
Jose,80,pm,visible,taken,6.666666666666667
Jessica,81,pm,visible,taken,6.75
Miranda,109,am,visible,waited,9.083333333333334
Samuel,111,am,visible,waited,9.25
Kiley,86,am,hidden,waited,7.166666666666667
Joseph,46,am,hidden,taken,3.8333333333333335
Awda,115,am,visible,taken,9.583333333333334
Kayla,103,am,hidden,waited,8.583333333333334
Angeline,106,am,hidden,waited,8.833333333333334
Tabyan,70,am,visible,taken,5.833333333333333
Jacob,90,am,hidden,taken,7.5
Imraan,112,am,hidden,waited,9.333333333333334
Rowdy,74,pm,hidden,taken,6.166666666666667
Kayla,84,pm,visible,taken,7
Ahmed,99,am,hidden,waited,8.25
Jae Mi,87,pm,visible,waited,7.25
Brandon,55,am,hidden,waited,4.583333333333333
Jordan,75,pm,hidden,waited,6.25
Lisa,51,pm,visible,taken,4.25
Mi,76,am,visible,taken,6.333333333333333
Caleb,40,am,hidden,taken,3.3333333333333335
Alonzo,91,pm,visible,taken,7.583333333333333
Laila,107,am,hidden,waited,8.916666666666666
Benjamin,109,am,hidden,waited,9.083333333333334
Arafaat,75,am,visible,waited,6.25
Khamel,56,pm,visible,taken,4.666666666666667
Kursh,94,pm,visible,waited,7.833333333333333
Abdul Ghafoor,84,pm,hidden,waited,7
Taylor,94,pm,visible,taken,7.833333333333333
Kinaana,52,pm,visible,waited,4.333333333333333
Oscar,120,pm,hidden,waited,10
Madison,39,pm,hidden,waited,3.25
Daniel,110,am,hidden,taken,9.166666666666666
Hannah,40,pm,hidden,taken,3.3333333333333335
Shaahida,70,am,hidden,waited,5.833333333333333
Belia,109,am,visible,waited,9.083333333333334
Jared,45,am,hidden,taken,3.75
John,86,am,hidden,waited,7.166666666666667
Mariah,110,am,visible,waited,9.166666666666666
Zaidaan,104,pm,hidden,waited,8.666666666666666
Raymond,105,pm,visible,waited,8.75
Ethan,78,am,hidden,waited,6.5
Joseph,76,pm,hidden,taken,6.333333333333333
Sean,101,pm,hidden,waited,8.416666666666666
Sabeeha,110,am,hidden,taken,9.166666666666666
Lloyd,80,am,visible,waited,6.666666666666667
Alisa,84,pm,visible,taken,7
Abdur Raqeeb,109,am,hidden,waited,9.083333333333334
Keifer,101,pm,hidden,waited,8.416666666666666
Brittnea,69,pm,visible,taken,5.75
Muzna,42,pm,hidden,taken,3.5
Nichole,58,pm,visible,taken,4.833333333333333
Monique,112,am,hidden,taken,9.333333333333334
Najae,83,am,visible,waited,6.916666666666667
Alicia,87,am,visible,taken,7.25
Adeeba,84,pm,visible,waited,7
Saamyya,90,pm,hidden,taken,7.5
Nicole,85,pm,visible,waited,7.083333333333333
Bassaam,102,pm,hidden,waited,8.5
Keilan,54,pm,hidden,taken,4.5
Merrick,53,pm,hidden,taken,4.416666666666667
Tomas,58,pm,hidden,waited,4.833333333333333
Lucas,84,pm,visible,taken,7
Cade,93,am,hidden,waited,7.75
Mena,65,pm,hidden,waited,5.416666666666667
Amy,65,am,visible,taken,5.416666666666667
Nathan,105,pm,visible,waited,8.75
Quinten,110,am,hidden,taken,9.166666666666666
Rebecca,48,pm,visible,taken,4
Tiara,51,pm,visible,taken,4.25
Nicolas,58,pm,hidden,waited,4.833333333333333
Dillon,67,pm,hidden,taken,5.583333333333333
Daniel,65,pm,hidden,waited,5.416666666666667
Karlos,88,pm,hidden,waited,7.333333333333333
Jasmine,100,am,hidden,waited,8.333333333333334
Stephanie,70,am,visible,taken,5.833333333333333
Vincent,109,am,visible,waited,9.083333333333334
Jaylon,96,am,hidden,waited,8
Lucas,114,am,hidden,taken,9.5
Awad,70,pm,hidden,waited,5.833333333333333
Jose,89,am,hidden,waited,7.416666666666667
Aaron,97,am,visible,taken,8.083333333333334
Firdaus,65,am,visible,taken,5.416666666666667
Dean,77,pm,hidden,waited,6.416666666666667
Atsila,56,pm,hidden,taken,4.666666666666667
Darian,56,am,visible,taken,4.666666666666667
Kendyl,92,pm,visible,waited,7.666666666666667
Emily,84,am,visible,taken,7
Ashley,80,pm,visible,taken,6.666666666666667
Aaron,94,pm,hidden,taken,7.833333333333333
Zeena,70,am,visible,waited,5.833333333333333
Lynda,52,pm,hidden,taken,4.333333333333333
Joshua,94,am,visible,waited,7.833333333333333
Inaaya,88,pm,visible,waited,7.333333333333333
Tyler,100,am,visible,waited,8.333333333333334
Kelly,100,am,hidden,waited,8.333333333333334
Jaclyn,53,am,visible,taken,4.416666666666667
Nick,88,pm,visible,waited,7.333333333333333
Nicholas,50,pm,visible,waited,4.166666666666667
Raabia,56,pm,hidden,taken,4.666666666666667
Uqbah,105,am,visible,waited,8.75
Jerum,98,am,hidden,taken,8.166666666666666
Muneeb,68,am,hidden,waited,5.666666666666667
Majeeda,40,pm,visible,taken,3.3333333333333335
Langston,99,am,hidden,waited,8.25
Brandon,74,am,visible,waited,6.166666666666667
Evan,107,pm,hidden,waited,8.916666666666666
Lexess,43,pm,visible,taken,3.5833333333333335
Joseph,86,pm,hidden,waited,7.166666666666667
William,99,pm,hidden,waited,8.25
Chasity,115,pm,hidden,waited,9.583333333333334
Abdul Khaliq,52,am,hidden,taken,4.333333333333333
Dakota,70,pm,visible,taken,5.833333333333333
Alisa,88,am,visible,taken,7.333333333333333
Joshua,77,pm,hidden,taken,6.416666666666667
Jacqueline,46,pm,visible,taken,3.8333333333333335
Mikal,100,am,visible,waited,8.333333333333334
Carolyn,72,pm,hidden,waited,6
Safar,82,am,hidden,taken,6.833333333333333
Elizabeth,107,am,visible,waited,8.916666666666666
Tyler,78,am,visible,taken,6.5
Adan,42,pm,visible,taken,3.5
Damon,78,pm,hidden,waited,6.5
Lajerriray,43,pm,hidden,taken,3.5833333333333335
Draven,76,am,hidden,taken,6.333333333333333
