name,age,happy,smm,f2f
Brittany,26,18,100 minutes,1
Symone,16,11,55,0.5
Tiffany,35,30,95,1.5
Elberta,20,27,90,1.75
Riley,29,21,60,0.75
Lateefa,28,16,40,0.5
Morgan,18,22,100,1.5
Nadheer,32,26,65,1.75
Jamie,37,29,55,0.25
Moncerrath,23,17,80 minutes,0.75
Alysha,29,29,90 minutes,2.25
Skylar,17,6,95,0.75
Hujja,24,35,105 minutes,2.25
Nathaniel,22,24,85,2
Natalie,34,26,75,2
Aishwarya,20,24,70,2
Kabunda,29,26,80,1.25
Andrew,33,31,55,1.5
Tania,28,20,70,1.25
Jessica,29,30,95,1.5
Addy,27,19,75,0.5
Dakota,22,29,65,2
Ahanabah,21,33,130,3
Jason,29,22,50,1
Faaid,24,26,80,1.75
Lucia,27,12,45,0
Charles,36,23,75,1
Ghuzaila,40,38,85,3
Sierra,32,18,60,0.75
Phillip,28,23,60,1.25
Tyler,16,17,75,1.5
Sergio,22,32,110,2.5
Karen,23,20,60,1.5
A'Layjah,26,31,120,2.25
Zoe,35,31,75,1.25
Kyla,28,34,55,2.25
Haley,33,34,95,2
Omar,26,17,40,0.75
Geneva,26,19,105,2
Jordano,19,17,95,0.5
Julius,22,18,45,1.5
Briana,19,21,135,2
Zamir,39,31,75,1.25
Wisaam,18,25,120,2
Liam,27,32,100,2.25
Kaatima,31,47,60,1.75
Wilfried,22,24,85,2.5
Nizhoni,36,27,50,1
Brandy,20,20,35,1.5
John,40,29,60,1
Noora,25,11,55,0
Maimoona,19,15,60,0.25
Dillon,31,18,75,0.5
Melanie,27,27,85,1.75
Matthew,35,22,55,1
Whitni,30,33,115,2
Dhaki,24,24,45,2
Joyce,27,19,40,1.25
Cheyenne,33,28,60,1.75
Ty,29,23,30,1
Silmi,23,27,55,2.5
Makari,12,16,125,1.25
Ebony,15,17,75,0.75
Stephanie,29,18,60,0.5
Gabriel,31,38,105,3
Dominic,24,25,130,1.75
Josue,31,34,60,1.75
Charles,18,29,70,2.5
Don,34,27,100,1.25
Adam,23,27,80,1.5
Aamir,38,32,75,2
Widdad,35,36,85,2.25
Shareefa,31,24,45,1
Vinson,27,36,90,3
Paul James,43,37,55,2
Phillip,24,30,95,2.25
Kathleen,25,27,75,2.5
