name,books_read,films_watched,resting_heart_rate
martin,4,17,64
josiah,8,13,44
umberto,9,10,76
emma,4,18,53
dan,5,14,55
aja,9,9,60
monica,6,16,65
tom,4,13,66
patrick,4,27,53
marju,7,5,62
john,7,10,62
Layla,6,11,57
Mawhiba,4,12,63
Towanna,3,16,76
Laurin,4,12,75
Drake,7,17,70
Jeana,6,16,72
Reihan,12,23,53
Juan,7,21,69
Javier,7,14,73
Bishr,11,24,81
Amos,3,25,59
Peter,5,20,81
Munir,9,20,63
Donoven,3,9,63
Ernie,2,15,71
Jorge,4,14,66
Austin,3,36,78
Angela,7,11,72
Jennifer,4,20,48
Ashleigh,4,12,68
Jeffrey,4,28,67
Justine,4,8,78
Ariel,5,25,72
Nicholas,2,6,68
Sequoya,3,12,63
Mahdi,6,18,71
Luis,3,13,69
Amalia,3,36,65
Marco,9,17,66
Jared,3,19,57
Khalia,9,5,78
Nathaniel,5,19,53
Trusten,8,27,77
Saraya,4,12,62
Alanna,12,11,62
David,5,19,72
Veronica,7,22,55
Alexis,9,16,59
Cameran,10,12,59
Marisa,3,5,71
Mato Ty,7,12,54
Siddeeqa,8,17,62
Jawhara,20,11,70
Abdul Fattaah,4,13,59
Michael,6,9,66
Mahmood,3,30,67
Ali,5,14,73
Latika,3,10,70
Paris,4,16,65
Johnny,7,17,55
Shawnae,6,14,63
Amanda,2,18,58
Christian,8,19,62
Sharon,1,14,67
Hannah,4,21,73
Dominick,3,12,58
Caley,4,19,58
Nicholas,9,16,53
Briana,5,24,65
Rayyaan,6,11,70
Bryant,8,18,58
Darshay,13,21,63
Isaiah,6,19,74
Iffat,8,23,69
Jesse,4,17,75
Allyssa,4,6,75
Christopher,9,8,60
Ariel,9,19,62
Robel,4,10,63
Marwaan,14,16,80
Omar,3,11,59
Annika,4,8,75
Mychole,7,14,66
Anna,6,13,77
Patricia,2,19,82
Salina,1,24,71
Nicholas,6,11,72
Brandon,5,14,74
Thaylor,4,16,66
Elijah,12,9,74
Dylan,2,15,66
Sabeeka,2,19,64
Kiana,3,20,55
Trevon,9,7,68
Gerald,10,17,63
Layaali,5,12,74
Sarah,6,12,72
Kabeer,2,13,69
Alec,12,14,57
Camille,6,12,67
Cynthia,4,19,58
Kameela,2,22,55
Xavier,4,26,69
Megan,3,25,62
Gage,4,27,61
Kasey,6,22,69
Benito,6,14,57
Max,6,25,62
Patrick,10,17,68
Mawdood,4,16,63
