ppt,exercise_hrs,anx
Hannah,4.5,21
Naseefa,10,6
Pelle,9,8
Austin,2.5,15
Nashat,2.5,10
Jacob,8.5,18
Jennifer,3,10
Dazheea,7,21
Jubair,4,15
Paris,5.5,21
Mahamud,3,10
Anthony,4.5,23
Yaasmeena,7.5,6
Christopher,0.5,7
Jessica,2,12
Deirdre,8,15
Jazmine,8.5,18
Sarahray,0,21
Sarah,5,18
Rasheeq,5,12
Jeffrey,3.5,18
Nicholas,9,8
Kawehi,7.5,10
Alexander,2,29
Reema,4.5,12
Turfa,9.5,6
Zachery,8.5,13
Keandre,7.5,5
Shaddaad,6.5,6
Thalia,5.5,18
Kadeja,9,15
Megan,8.5,20
Christopher,5,24
Bianca,4,17
Derek,3,17
Amaan,0.5,22
Brisha,0.5,14
Lonesha,5.5,15
Kove,4,12
Jordan,6,17
Taylor,0.5,17
Ishaaq,0.5,10
William,10,16
Marwa,6.5,23
Waleed,1.5,5
Yayoua,7,17
Jayde,1,20
Haniyya,9.5,12
Brandon,6.5,14
Fernando,9,17
Reema,8,4
Cheyenne,3,14
Ariel,2,18
Gerald,5.5,20
Damien,3,11
Tilden,4,24
Talha,4,7
Sierra,3,15
De Juan,9,25
Shalynn,1.5,25
Stephanie,2,18
Alex,6.5,16
Stella,9,0
Ralph,9.5,14
Carl,1,16
Antonio,6.5,18
Briana,5,20
Thaaqib,8.5,13
German,7.5,11
Tecumseh,0.5,15
Kabeera,3,14
Teauna,3,20
Mus'ab,5.5,24
Joseph,9,19
Austin,5,8
Andrew,2.5,13
Breeann,5.5,13
Madeline,6.5,15
Angalique,5,1
Elias,4.5,12
Nameera,2.5,9
Alawi,10,29
Umar,3,13
Murel,2,16
Matthew,0,21
Miranda,0.5,21
Tarah,0.5,25
Pearl,7.5,11
Toby,4.5,12
Domonique,5,22
David,8,8
Jakob,8.5,12
Kanani,5.5,16
Trevor,0.5,20
Luwai,9.5,14
Zaamil,8.5,5
Tyler,2,18
Francisco,8,6
Shelby,8,20
Naqiyya,8,22
