name,age,height,shoe_size,hrs_sleep,ampm,smoke,HR
Biancha,42,150.8,39,14,pm,n,46
Werner,71,160.4,39,6.3,pm,n,73
Martin,NA,182,43,9.5,pm,n,62
Danika,60,180.7,35,9.1,am,n,66
Thuy Minh,25,178,42,11.3,am,n,44
Jena,22,169.3,44,11.5,pm,n,53
Tianna,78,147.1,41,3.8,pm,n,86
Dylan,63,175.7,40,8.8,am,n,66
Aatif,48,169.2,38,4,pm,n,78
Heather,73,167.1,42,8.3,pm,n,69
Rebecca,54,179.9,36,9.2,pm,v,59
Phaylinh,61,157.7,41,7.7,pm,n,73
Casandra,74,164.6,38,3.7,pm,v,84
Wajeeh,70,192.8,46,4.8,pm,n,66
Magali,50,160.7,43,11.1,pm,n,55
Kevin,57,171.8,42,7.6,pm,n,69
Julia,67,175.9,41,8,pm,n,63
Alexandra,77,147.3,39,6.4,pm,n,69
Mario,21,142.4,44,12.8,am,v,51
Allison,65,168.8,43,5.7,pm,n,72
Sarah,60,178.4,40,7.2,pm,v,65
Frank,57,140.5,39,4.7,pm,n,62
Raina,80,166.2,40,6.6,pm,y,81
Amanda,57,164.8,42,7.9,pm,v,65
Trayvon,59,189.5,38,8.1,pm,n,86
Jacey,63,176.1,42,9,pm,v,67
Tiesha,54,165.5,35,9.2,pm,n,64
Lucia,54,168.1,39,11.9,pm,n,60
Chantana,20,186.4,39,13.3,am,n,33
Dua,67,168.9,42,6.7,pm,n,70
Adrian,29,168.9,43,10.8,pm,n,42
Johatam,28,158.6,41,14.6,am,v,39
Madeline,48,170,40,10.1,am,n,64
Anthony,33,171.2,45,11.9,pm,n,51
Jamie,39,178.7,41,11.4,pm,n,56
Samantha,62,162.4,41,6.2,pm,n,77
Heather,72,177.1,45,9.1,am,n,70
Charles,34,160.3,42,6.7,pm,n,60
Cheyenne,67,175.5,40,8.8,am,n,64
Veronica,53,171,46,13.2,pm,v,51
Samantha,51,159.6,38,7.9,pm,n,68
Mahbooba,67,161.2,41,7.1,pm,n,74
Eunicia,75,164.9,45,7.2,pm,n,76
Juliana,57,155.2,46,7.2,am,v,70
Vincent,58,166.7,47,9.2,pm,n,63
Janelle,45,177.3,40,9.2,pm,n,63
Mohammed,45,201,39,11.3,pm,n,60
Rutaiba,78,167,37,10.7,pm,n,58
Archibald,37,174.5,48,7.9,pm,n,62
Jessica,46,177,39,8.6,am,n,53
Robyn,62,158.3,42,9.4,pm,y,66
Erik,68,180,43,8.2,pm,n,72
Shalini,37,173.5,44,10.5,am,n,53
Christopher,60,150.8,42,7.3,pm,v,71
Noor,67,164.8,34,7.8,am,n,81
Farhaan,71,175.7,44,7.4,pm,y,78
Alejandro,56,163,42,9.7,am,v,63
Christopher,30,162.5,42,11.6,pm,n,59
Hilmi,74,158.5,39,6.5,am,v,80
Keitaro,20,154.1,44,9.3,pm,n,57
Dashun,67,176.5,45,8.6,pm,n,79
Kelsey,71,183.2,42,6.9,pm,n,70
Tiffine,68,166.3,42,7.8,am,n,69
Jeremy,28,161.8,44,9.2,pm,n,71
Francisco,38,185.8,42,9,pm,n,71
Jose,30,166,42,12.7,am,n,61
Samuel,38,168.5,36,10,am,n,54
Fabian,42,173.8,46,8.9,pm,n,48
Aiman,49,153.8,42,6.7,am,n,59
Samantha,26,160,42,9.4,pm,n,62
